id,name,category,subtype,rarity,level,image_url,wiki_url,obtain,dmg_clean,dmg_max,def_clean,def_max,upgradeable,crit,health_regen,stamina_regen,price_clean_oml,price_max_oml,price_source,price_category,last_updated,updated_at
1178,Orange Sparkle Body Aura,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Orange_Sparkle_Body_Aura.png,,Sparkle Body Aura Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1179,Pink Sparkle Body Aura,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Pink_Sparkle_Body_Aura.png,,Sparkle Body Aura Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1180,Yellow Sparkle Body Aura,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Yellow_Sparkle_Body_Aura.png,,Sparkle Body Aura Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1181,White Sparkle Body Aura.png,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/White_Sparkle_Body_Aura.png,,Sparkle Body Aura Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1182,Night Shade,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Night_Shade.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1183,Digital Pixel,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Digital_Pixel.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1184,Electric,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Electric.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1185,Sparkle Dust,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Sparkle_Dust.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1186,Rainbow Mist,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Rainbow_Mist.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1187,Polychrome,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Polychrome.png,,Bamboozle Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1188,Bubble Pop,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Bubble_Pop.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1189,Angelic Butterfly,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Angelic_Butterfly.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1190,Evil Observer,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Evil_Observer.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1191,Hex,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Hex.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1192,Negative Matter,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Negative_Matter.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1193,Aesthetic Mist,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Aesthetic_Mist.png,,Bamboozle II Chest,,,,,FALSE,,,,1 - 1.5,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1194,XTox,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/XTox.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1195,Grit,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Grit.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1196,X-Citing,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/X-Citing.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1197,Snow Mist,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Snow_Mist.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1198,Antique Light,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Antique_Light.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1199,Astra Starlight,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Astra_Starlight.png,,Community Chest A,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1200,Chromatic Aberration,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Chromatic_Aberration.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1201,Lushflame,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Lushflame.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1202,Blue Rainbow,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Blue_Rainbow.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1203,Shadow Flame,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Shadow_Flame.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1204,Stardust,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Stardust.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1205,Void Depth,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Void_Depth.png,,Community Chest B,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1206,Alluring Starlight,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Alluring_Starlight.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1207,Skyval,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Skyval.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1208,Spectral Dust,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spectral_Dust.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1209,Chroma Bubble,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Chroma_Bubble.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1210,Gala Nova,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Gala_Nova.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1211,Hazy Anaglyph,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Hazy_Anaglyph.png,,Void Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1212,Campfire,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Campfire.png,,Summer Chest,,,,,FALSE,,,,20,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1213,Abyssal Flame,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Abyssal_Flame.png,,Summer Chest,,,,,FALSE,,,,30-40,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1214,Fireworks,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Fireworks.png,,Summer Chest,,,,,FALSE,,,,7,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1215,Fireflies,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Fireflies.png,,Summer Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1216,Thunderstorm,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Thunderstorm.png,,Summer Chest,,,,,FALSE,,,,20-23,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1217,Solar,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Solar.png,,Summer Chest,,,,,FALSE,,,,10-14,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1218,Sunflare,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Sunflare.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1219,Azure Sky,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Sky.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1220,Shimmering Light,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Dim_Lights.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1221,Cosmical,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Cosmical.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1222,Aetheral Cage,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Aetheral_Cage.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1223,Flow,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Flow.png,,Polarized Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1224,Feline Glare,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Feline_Glare.png,,Spooky Chest (Halloween),,,,,FALSE,,,,10,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1225,Ghostly Apparition,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Ghostly_Apparition.png,,Spooky Chest (Halloween),,,,,FALSE,,,,25,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1226,Malevolent Webs,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Malevolent_Webs.png,,Spooky Chest (Halloween),,,,,FALSE,,,,11-13,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1227,Crescent Sky,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Crescent_Sky.png,,Spooky Chest (Halloween),,,,,FALSE,,,,8,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1228,Phantasmagoric Bats,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Phantasmagoric_Bats.png,,Spooky Chest (Halloween),,,,,FALSE,,,,45-50,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1229,Demonic,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Demonic.png,,Spooky Chest (Halloween),,,,,FALSE,,,,25,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1230,Heart's Content,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Heart's_Content.png,,Rosemary Chest,,,,,FALSE,,,,25,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1231,Valentine Essence,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Valentine_Essence.png,,Rosemary Chest,,,,,FALSE,,,,15-16,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1232,Ruby Delight,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Ruby_Delight.png,,Rosemary Chest,,,,,FALSE,,,,10,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1233,Sweetheart,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Sweetheart.png,,Rosemary Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1234,Wickedheart,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Wickedheart.png,,Rosemary Chest,,,,,FALSE,,,,25-30,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1235,Love Struck,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Love_Struck.png,,Rosemary Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1236,Flake Flurry,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Flake_Flurry.png,,Frost Chest,,,,,FALSE,,,,20-22,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1237,Flash Freeze,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Flash_Freeze.png,,Frost Chest,,,,,FALSE,,,,6-8,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1238,Golden Glint,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Golden_Glint.png,,Frost Chest,,,,,FALSE,,,,35-40,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1239,Party Explosion,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Party_Explosion.png,,Frost Chest,,,,,FALSE,,,,40,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1240,Candied Aurora,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Candied_Aurora.png,,Frost Chest,,,,,FALSE,,,,6-7,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1241,Peppermint Swirl,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Peppermint_Swirl.png,,Frost Chest,,,,,FALSE,,,,40-45,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1242,Rose,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Rose.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1243,Heartwarmth,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Heartwarmth.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1244,Wandering Love,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Wandering_Love.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1245,Chocolate,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Chocolate.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1246,Spiral Love,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spiral_Love.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1247,Soul,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Soul.png,,Heart Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1248,Pure Dream,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Pure_Dream.png,,Slumber Chest,,,,,FALSE,,,,6-8,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1249,Sweet Fantasy,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Sweet_Fantasy.png,,Slumber Chest,,,,,FALSE,,,,35-40,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1250,Scarlet Memory,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Scarlet_Memory.png,,Slumber Chest,,,,,FALSE,,,,18-20,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1251,Umbral Nightmare,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Umbral_Nightmare.png,,Slumber Chest,,,,,FALSE,,,,8,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1252,Treacherous Dream,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Treacherous_Dream.png,,Slumber Chest,,,,,FALSE,,,,25-27,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1253,Clover,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_1.png,,Spring Season Chest,,,,,FALSE,,,,20-22,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1254,Swirl,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_2.png,,Spring Season Chest,,,,,FALSE,,,,18-20,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1255,Bunny Spirit,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_3.png,,Spring Season Chest,,,,,FALSE,,,,30,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1256,Egg Shine,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_4.png,,Spring Season Chest,,,,,FALSE,,,,30-40,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1257,Hallowed Easter,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_5.png,,Spring Season Chest,,,,,FALSE,,,,15,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1258,Pastel Halo,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Spring_Season_Aura_6.png,,Spring Season Chest,,,,,FALSE,,,,30,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1259,Shoreshells aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_1.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1260,Dawning Sunlight aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_2.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1261,Flowing Tides aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_3.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1262,Starry Blast aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_4.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1263,Sunflare Eclipse aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_5.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1264,Sunshine aura,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Summer_Y2_Aura_6.png,,Summer Y2 Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1265,Corrupting Void,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_1.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,35-40,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1266,Chroma,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_2.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,20-25,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1267,Enchanted Snowstorm,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_3.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,20,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1268,Crimson Curse,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_4.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,60-70,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1269,Galaxy Heart,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_5.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,40,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1270,Golden,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Lost_Arts_Body_Aura_6.png,,Lost Arts Body Aura Chest,,,,,FALSE,,,,40-45,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1271,Kite Conflict,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Kite_Conflict.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1272,Ashened Crescent,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Ash_Crescents.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1273,Digitize,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Digitize.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1274,Wishscape,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Wishscape.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1275,Solar Halo,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Solar_Halo.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1276,Void Codec,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Void_Codec.png,,Geo Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1277,Immortality,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Immortality.png,,Elysian Authorities Chest,,,,,FALSE,,,,3,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1278,Eternal Void,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/EternalVoid.png,,Elysian Authorities Chest,,,,,FALSE,,,,6,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1279,Arcane Rose,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Arcanerose.png,,Elysian Authorities Chest,,,,,FALSE,,,,5,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1280,Tempest Wrath,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Tempestwrath.png,,Elysian Authorities Chest,,,,,FALSE,,,,8-9,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1281,Cosmorium,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Cosmorium.png,,Elysian Authorities Chest,,,,,FALSE,,,,7-8,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1282,Vengeful Darkness,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Vengefuldarkness.png,,Elysian Authorities Chest,,,,,FALSE,,,,12-14,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1283,Gusting Wind,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Gusting_WInd.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1284,Chromatic Dust,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Chromatic_Dust.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1285,Reality Shatter,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Reality_Shatter.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1286,Singularity Point,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Singularity_Point.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1287,Equality,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Equality.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1288,Violet Nebula,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Violet_Nebula.png,,Chaotic Convergence Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1289,Toxic Body Aura,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Toxic_Body_Aura.png,,Celestial Body Aura Chest,,,,,FALSE,,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1290,Azure Fire,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Azure_Fire.png,,Celestial Body Aura Chest,,,,,FALSE,,,,15,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1291,Nebula Heart,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Nebula_Heart.png,,Celestial Body Aura Chest,,,,,FALSE,,,,8-10,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1292,Chaos,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Chaos.png,,Celestial Body Aura Chest,,,,,FALSE,,,,15-17,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1293,Sacred Desire,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Sacred_Desire.png,,Celestial Body Aura Chest,,,,,FALSE,,,,50,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1294,Holy Light,Body Aura,Body,,,https://swordburst2.fandom.com/Special:Redirect/file/Holy_Light.png,,Celestial Body Aura Chest,,,,,FALSE,,,,30-35,,auras,Idol Star Bundle 500 Arising Star,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1295,Cursed Repulsion,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Cursed_Repulsion..png,,Sinister Aura Chest,,,,,FALSE,,,,15,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
1296,Halloween's Spirit,Aura,,,,https://swordburst2.fandom.com/Special:Redirect/file/Halloween's_Spirit..png,,Sinister Aura Chest,,,,,FALSE,,,,40-45,,auras,General,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
